SYMBOL,SERIES
ORBTEXP,EQ
ORCHIDCHEM,EQ
ORIENTABRA,EQ
ORIENTBANK,EQ
ORIENTBELL,EQ
ORIENTCEM,EQ
ORIENTHOT,EQ
ORIENTPPR,EQ
ORIENTREF,EQ
ORISSAMINE,EQ
OUDHSUG,EQ
PAGEIND,EQ
PANACEABIO,EQ
PANAMAPET,EQ
PANASONIC,EQ
PANCARBON,EQ
PANORAMUNI,EQ
PAPERPROD,EQ
PARACABLES,EQ
PARAL,EQ
PARRYSUGAR,EQ
PARSVNATH,EQ
PATELENG,EQ
PATINTLOG,EQ
PATSPINLTD,EQ
PCJEWELLER,EQ
PDPL,EQ
PDUMJEIND,EQ
PDUMJEPULP,EQ
PEL,EQ
PENIND,EQ
PENINLAND,EQ
PERIATEA,EQ
PERSISTENT,EQ
PETRONET,EQ
PFC,EQ
PFIZER,EQ
PFOCUS,EQ
PFRL,EQ
PFS,EQ
PGEL,EQ
PGHH,EQ
PGIL,EQ
PHILIPCARB,EQ
PHOENIXLL,EQ
PHOENIXLTD,EQ
PIDILITIND,EQ
PIIND,EQ
PILIND,EQ
PIPAVAVDOC,EQ
PIRGLASS,EQ
PITTILAM,EQ
PLETHICO,EQ
PNB,EQ
PNBGILTS,EQ
POCHIRAJU,EQ
POLARIS,EQ
POLYMED,EQ
POLYPLEX,EQ
PONDYOXIDE,EQ
PONNIERODE,EQ
POWERGRID,EQ
PPAP,EQ
PRAENG,EQ
PRAJIND,EQ
PRAKASH,EQ
PRAKASHCON,EQ
PRAKASHSTL,EQ
PRATIBHA,EQ
PRECOT,EQ
PRECWIRE,EQ
PREMIER,EQ
PRESTIGE,EQ
PRICOL,EQ
PRISMCEM,EQ
PROVOGE,EQ
PSB,EQ
PSL,EQ
PSUBNKBEES,EQ
PTC,EQ
PTL,EQ
PUNJLLOYD,EQ
PURVA,EQ
PVP,EQ
PVR,EQ
QGOLDHALF,EQ
QNIFTY,EQ
RADICO,EQ
RAIN,EQ
RAINBOWPAP,EQ
