SYMBOL,SECTOR
IBREALEST,CONSTRUCTION & CONTRACTING - REAL ESTATE
IBSEC,FINANCE - INVESTMENTS
IBULHSGFIN,FINANCE - HOUSING
ICICIBANK,BANKS - PRIVATE SECTOR
ICRA,MISCELLANEOUS
IDBI,FINANCE - INVESTMENTS
IDBIGOLD,FINANCE - INVESTMENTS
IDEA,PERSONAL CARE
IDFC,FINANCE - TERM LENDING INSTITUTIONS
IFBAGRO,CHEMICALS
IFBIND,CONSUMER GOODS - WHITE GOODS
IFCI,FINANCE - TERM LENDING INSTITUTIONS
IFGLREFRAC,CEMENT - PRODUCTS/BUILDING MATERIALS
IGARASHI,ELECTRIC EQUIPMENT
IGL,OIL DRILLING AND EXPLORATION
IGPL,CHEMICALS
IIFLNIFTY,FINANCE - INVESTMENTS
IL&FSENGG,FINANCE - INVESTMENTS
IL&FSTRANS,FINANCE - INVESTMENTS
IMFA,MINING/MINERALS
IMPAL,TRADING
